Year,status,Value
2000,,0
2001,,0
2002,,0
2003,,0
2004,,0
2005,,0
2006,,0
2007,,0
2008,,0
2009,,0
2010,,4.108198642
2011,,4.220517055
2012,,4.366281292
2013,,4.522697153
2014,,4.667198
2015,,4.845478557
2016,,0
2017,,0
2000,healthworker_dist_metro,0
2001,healthworker_dist_metro,0
2002,healthworker_dist_metro,0
2003,healthworker_dist_metro,0
2004,healthworker_dist_metro,0
2005,healthworker_dist_metro,0
2006,healthworker_dist_metro,0
2007,healthworker_dist_metro,0
2008,healthworker_dist_metro,0
2009,healthworker_dist_metro,0
2010,healthworker_dist_metro,4.435708
2011,healthworker_dist_metro,4.551183
2012,healthworker_dist_metro,4.702347
2013,healthworker_dist_metro,4.865181
2014,healthworker_dist_metro,5.014774
2015,healthworker_dist_metro,5.199409529
2016,healthworker_dist_metro,0
2017,healthworker_dist_metro,0
2000,healthworker_dist_nonmetro,0
2001,healthworker_dist_nonmetro,0
2002,healthworker_dist_nonmetro,0
2003,healthworker_dist_nonmetro,0
2004,healthworker_dist_nonmetro,0
2005,healthworker_dist_nonmetro,0
2006,healthworker_dist_nonmetro,0
2007,healthworker_dist_nonmetro,0
2008,healthworker_dist_nonmetro,0
2009,healthworker_dist_nonmetro,0
2010,healthworker_dist_nonmetro,2.251444
2011,healthworker_dist_nonmetro,2.326877
2012,healthworker_dist_nonmetro,2.42134
2013,healthworker_dist_nonmetro,2.522589
2014,healthworker_dist_nonmetro,2.615357
2015,healthworker_dist_nonmetro,2.735288971
2016,healthworker_dist_nonmetro,0
2017,healthworker_dist_nonmetro,0
