Year,education,Value
2000,,0
2001,,0
2002,,0
2003,,0
2004,,0
2005,,0
2006,,0
2007,,0
2008,,0
2009,,0
2010,,0
2011,,0
2012,,0
2013,,1151645000
2014,,974553000
2015,,905674000
2016,,0
2000,i4_b_1_basic,0
2001,i4_b_1_basic,0
2002,i4_b_1_basic,0
2003,i4_b_1_basic,0
2004,i4_b_1_basic,0
2005,i4_b_1_basic,0
2006,i4_b_1_basic,0
2007,i4_b_1_basic,0
2008,i4_b_1_basic,0
2009,i4_b_1_basic,0
2010,i4_b_1_basic,0
2011,i4_b_1_basic,0
2012,i4_b_1_basic,0
2013,i4_b_1_basic,0
2014,i4_b_1_basic,727746000
2015,i4_b_1_basic,675671000
2016,i4_b_1_basic,0
2000,i4_b_1_higher,0
2001,i4_b_1_higher,0
2002,i4_b_1_higher,0
2003,i4_b_1_higher,0
2004,i4_b_1_higher,0
2005,i4_b_1_higher,0
2006,i4_b_1_higher,0
2007,i4_b_1_higher,0
2008,i4_b_1_higher,0
2009,i4_b_1_higher,0
2010,i4_b_1_higher,0
2011,i4_b_1_higher,0
2012,i4_b_1_higher,0
2013,i4_b_1_higher,0
2014,i4_b_1_higher,246807000
2015,i4_b_1_higher,230003000
2016,i4_b_1_higher,0
